,hi,roi_name,const,end_pos,start_pos,length,mid
0,0.9237146094925639,dnaA (Rv0001),0.0005210849797565907,1524,1,1523.0,762.5
1,0.9065900122868324,near_dnaN (Rv0002),0.0007846270104953908,2051,1525,526.0,1788.0
2,0.8594404212913137,dnaN (Rv0002),0.0005964775156947757,3260,2052,1208.0,2656.0
3,0.9317683962566728,near_recF (Rv0003),0.0005365796401562917,3279,3261,18.0,3270.0
4,0.9586262316019103,incl_recF (Rv0003),0.00048264348138827754,4437,3280,1157.0,3858.5
5,1.0325275867272665,Rv0004,0.0005107731816640011,4997,4434,563.0,4715.5
6,0.8962596441429205,near_gyrB (Rv0005),0.0004822838269247964,5239,4998,241.0,5118.5
7,0.8831241875154641,gyrB (Rv0005),0.0005066668065592181,7267,5240,2027.0,6253.5
8,0.8995810165448667,near_gyrA (Rv0006),0.00036632336933769313,7301,7268,33.0,7284.5
9,0.9176074375522055,gyrA (Rv0006),0.0004848880372674112,9818,7302,2516.0,8560.0
10,0.9577663173722034,near_Rv0007,0.0004905507153177557,9913,9819,94.0,9866.0
11,0.9887144728412557,Rv0007,0.0005573620350173981,10828,9914,914.0,10371.0
12,0.8767657128309557,near_ileT (Rvnt01),0.00048529603057864955,10886,10829,57.0,10857.5
13,0.961995490071103,ileT (Rvnt01),0.000500308144334348,10960,10887,73.0,10923.5
14,0.8570519864954237,near_alaT (Rvnt02),0.0005428672350969375,11111,10961,150.0,11036.0
15,0.8369694044282275,alaT (Rvnt02),0.000527050244206199,11184,11112,72.0,11148.0
16,0.9665833967713585,near_Rv0008c,0.000493449837205433,11873,11185,688.0,11529.0
17,0.9434049458057634,Rv0008c,0.000444758431123768,12311,11874,437.0,12092.5
18,1.0756719596122932,near_ppiA (Rv0009),0.0004715333350614677,12467,12312,155.0,12389.5
19,0.9590992004496423,ppiA (Rv0009),0.0005257283928508595,13016,12468,548.0,12742.0
20,0.8549151733024217,near_Rv0010c,0.0006452332253070345,13132,13017,115.0,13074.5
21,0.8965851352584719,Rv0010c,0.0005095340221975065,13558,13133,425.0,13345.5
22,0.8876426018080277,near_Rv0011c,0.00047045131913353106,13713,13559,154.0,13636.0
23,1.010569970014555,Rv0011c,0.0005081559539787882,13995,13714,281.0,13854.5
24,0.9365781546888019,near_Rv0012,0.0005038562683697627,14088,13996,92.0,14042.0
25,0.9303581204593978,Rv0012,0.0004964724153869444,14877,14089,788.0,14483.0
26,0.7182392556320446,near_trpG (Rv0013),0.00035010243095876035,14913,14878,35.0,14895.5
27,0.8785366150882123,trpG (Rv0013),0.0005363964840146931,15612,14914,698.0,15263.0
28,0.9686762358076616,incl_pknB (Rv0014c),0.00048411848477668127,17470,15590,1880.0,16530.0
29,0.9572189409798313,incl_pknA (Rv0015c),0.0005803556913873402,18762,17467,1295.0,18114.5
30,0.9777061222758243,incl_pbpA (Rv0016c),0.0004916658042995682,20234,18759,1475.0,19496.5
31,0.9622035773043516,incl_rodA (Rv0017c),0.0004941369581584545,21640,20231,1409.0,20935.5
32,0.9285083322957164,pstP (Rv0018c),0.0005670475993625448,23181,21637,1544.0,22409.0
33,1.0584091237376718,near_fhaB (Rv0019c),0.0022336106211319363,23269,23182,87.0,23225.5
34,0.9409376909939717,fhaB (Rv0019c),0.0004677915358206287,23737,23270,467.0,23503.5
35,1.2374214859479482,near_fhaA (Rv0020c),0.0005278587612373006,23860,23738,122.0,23799.0
36,0.9390032620572056,fhaA (Rv0020c),0.000839410853937238,25444,23861,1583.0,24652.5
37,0.874635748877707,near_leuT (Rvnt03),0.00046428722997920367,25643,25445,198.0,25544.0
38,0.926930408741058,leuT (Rvnt03),0.00048314097534583417,25726,25644,82.0,25685.0
39,0.9217417182855832,near_Rv0021c,0.00045670332311759993,25912,25727,185.0,25819.5
40,0.8603872381842483,Rv0021c,0.0005155273230540096,26881,25913,968.0,26397.0
41,1.2487516276842585,near_whiB5 (Rv0022c),0.00036223998900394036,27022,26882,140.0,26952.0
42,0.7956811827377217,whiB5 (Rv0022c),0.0005008664163637772,27442,27023,419.0,27232.5
43,0.8059321655828672,near_Rv0023,0.0005795599506386062,27594,27443,151.0,27518.5
44,0.975513706290346,incl_Rv0023,0.0005327014110815149,28365,27595,770.0,27980.0
45,0.9410644729918167,Rv0024,0.000699113558133298,29207,28362,845.0,28784.5
46,0.717841317241662,near_Rv0025,0.00043053834866576814,29244,29208,36.0,29226.0
47,0.9883557400986043,Rv0025,0.00043528540116394125,29607,29245,362.0,29426.0
48,1.0049258468173285,near_Rv0026,0.000435768515526073,29721,29608,113.0,29664.5
49,0.9557161064325386,Rv0026,0.0004998796070797234,31068,29722,1346.0,30395.0
50,0.9048094664881919,near_Rv0027,0.0005195986530099029,31188,31069,119.0,31128.5
51,0.8795748583915387,incl_Rv0027,0.00046310261295694444,31513,31189,324.0,31351.0
52,0.8401889045937705,Rv0028,0.0005781054689439316,31819,31514,305.0,31666.5
53,0.9458054414470822,near_Rv0029,0.0005338026643407782,32056,31820,236.0,31938.0
54,1.0537708148370186,Rv0029,0.0005670787155215389,33154,32057,1097.0,32605.5
55,0.9841880225187372,near_Rv0030,0.0006115930867329607,33223,33155,68.0,33189.0
56,0.8490365292627327,Rv0030,0.0004884084396978372,33553,33224,329.0,33388.5
57,0.9288250273410159,near_bioF2 (Rv0032),0.0005224472036817004,34294,33554,740.0,33924.0
58,1.01523250987384,incl_bioF2 (Rv0032),0.0005061142732635055,36610,34295,2315.0,35452.5
59,0.8738246556383936,incl_acpA (Rv0033),0.0005508446388081856,36870,36607,263.0,36738.5
60,1.065825302580716,incl_Rv0034,0.00042375664503396413,37262,36867,395.0,37064.5
61,1.0394373703696804,fadD34 (Rv0035),0.0005114015800922671,38947,37259,1688.0,38103.0
62,1.0217257672145803,near_Rv0036c,0.006278132479806275,39055,38948,107.0,39001.5
63,1.019725731256431,Rv0036c,0.0007746450191209496,39829,39056,773.0,39442.5
64,0.8857821002062592,near_Rv0037c,0.0003987462372409376,39876,39830,46.0,39853.0
65,0.9663278241842498,Rv0037c,0.0005132981288580572,41202,39877,1325.0,40539.5
66,0.9319175250581578,near_Rv0038,0.00047950368085102524,41303,41203,100.0,41253.0
67,0.9341832398571243,Rv0038,0.000575175906809921,41912,41304,608.0,41608.0
68,0.9499942096413184,near_Rv0039c,0.0004485299791650578,42003,41913,90.0,41958.0
