,Estimate,Fitting_succeeded,lower_ci,nObs,p_value,parameter,roi_name,upper_ci,exp_Estimate,log10_Estimate
0,-7.55959742057393,True,-7.588486094277021,250,0.0,const,dnaA (Rv0001),-7.530708746870838,0.0005210849797565907,-17.409752859581758
1,-0.23825672193289998,True,-0.2810142653273844,250,9.10255760895574e-28,"(0.01, 0.05]",dnaA (Rv0001),-0.19549917853841559,0.788000368146876,-0.5487052306114687
2,-0.13295001905763063,True,-0.18851629025808575,250,2.738922142706117e-06,"(0.05, 0.2]",dnaA (Rv0001),-0.07738374785717551,0.8755088497726018,-0.30618389388972334
3,-0.07935211923435626,True,-0.12735929539227117,250,0.0011966909178113528,"(0.2, 1.0]",dnaA (Rv0001),-0.03134494307644133,0.9237146094925639,-0.18274793059672245
4,-7.150302098965176,True,-7.196994385177777,250,0.0,const,near_dnaN (Rv0002),-7.103609812752576,0.0007846270104953908,-16.4671457339168
5,-0.07747098056092634,True,-0.1444277013373031,250,0.02334515142999744,"(0.01, 0.05]",near_dnaN (Rv0002),-0.01051425978454959,0.9254538801594562,-0.17841566823181337
6,-0.092058707523057,True,-0.1790959232645612,250,0.038168427224711726,"(0.05, 0.2]",near_dnaN (Rv0002),-0.005021491781552798,0.9120516036827809,-0.2120112034256003
7,-0.09806495720623265,True,-0.17695608760066026,250,0.014837684359926192,"(0.2, 1.0]",near_dnaN (Rv0002),-0.019173826811805045,0.9065900122868324,-0.22584359644595378
8,-7.424469010858815,True,-7.460845817625091,250,0.0,const,dnaN (Rv0002),-7.38809220409254,0.0005964775156947757,-17.09855213200785
9,-0.30525368614807247,True,-0.35976294731142505,250,4.9926324531131165e-28,"(0.01, 0.05]",dnaN (Rv0002),-0.2507444249847199,0.7369364001195183,-0.7029992391990109
10,-0.1950323247258661,True,-0.26738662381490186,250,1.2700321794712038e-07,"(0.05, 0.2]",dnaN (Rv0002),-0.12267802563683036,0.822808060581144,-0.4491594438436696
11,-0.15147377443115434,True,-0.21353995996163133,250,1.7241339907368289e-06,"(0.2, 1.0]",dnaN (Rv0002),-0.08940758890067733,0.8594404212913137,-0.34884410251494846
12,-7.5302955630028805,True,-7.775291031885081,250,0.0,const,near_recF (Rv0003),-7.28530009412068,0.0005365796401562917,-17.342270681595632
13,-0.2371377674267889,True,-0.5975090545286863,250,0.19714458983009742,"(0.01, 0.05]",near_recF (Rv0003),0.12323351967510851,0.7888825982052304,-0.5461282783838949
14,-0.4747006944585554,True,-0.9976124496996666,250,0.07519705315895728,"(0.05, 0.2]",near_recF (Rv0003),0.048211060782555715,0.6220712179667565,-1.093235699338053
15,-0.07067099704877464,True,-0.46881882419800935,250,0.7279209821256163,"(0.2, 1.0]",near_recF (Rv0003),0.32747683010046014,0.9317683962566728,-0.16275530620332798
16,-7.6362323106382455,True,-7.668115344841256,250,0.0,const,incl_recF (Rv0003),-7.604349276435235,0.00048264348138827754,-17.58624301139988
17,-0.19186847733667692,True,-0.2382333515779508,250,5.029575134823907e-16,"(0.01, 0.05]",incl_recF (Rv0003),-0.14550360309540303,0.8254154221875644,-0.4418731033063669
18,-0.19446603990792596,True,-0.25674778533837045,250,9.374378782556588e-10,"(0.05, 0.2]",incl_recF (Rv0003),-0.13218429447748148,0.8232741362472616,-0.4478552899079535
19,-0.04225402813913309,True,-0.09421460537161835,250,0.11097391556864601,"(0.2, 1.0]",incl_recF (Rv0003),0.009706549093352161,0.9586262316019103,-0.09731102680442351
20,-7.579584937799703,True,-7.629448562955895,250,0.0,const,Rv0004,-7.529721312643511,0.0005107731816640011,-17.455784111752717
21,-0.18561145565594617,True,-0.2582622572867111,250,5.516962957223719e-07,"(0.01, 0.05]",Rv0004,-0.11296065402518125,0.8305962557712333,-0.427463182375644
22,-0.14827825233794206,True,-0.24348445780743586,250,0.0022691917388049025,"(0.05, 0.2]",Rv0004,-0.05307204686844827,0.8621911748514925,-0.3414848151342806
23,0.032009763876040265,True,-0.04812950263270316,250,0.43370816983778615,"(0.2, 1.0]",Rv0004,0.11214903038478369,1.0325275867272665,0.07371848620652073
24,-7.636977764678229,True,-7.701701477637961,250,0.0,const,near_gyrB (Rv0005),-7.572254051718497,0.0004822838269247964,-17.58795979205396
25,-0.14263764379290744,True,-0.23515477376647878,250,0.0025130897832734704,"(0.01, 0.05]",near_gyrB (Rv0005),-0.050120513819336104,0.8670681995225301,-0.32849449365506583
26,-0.11433610269109457,True,-0.23563615929899223,250,0.06468331666872391,"(0.05, 0.2]",near_gyrB (Rv0005),0.006963953916803101,0.8919581159736084,-0.2633160444975908
27,-0.10952512657622021,True,-0.21659822875412843,250,0.044979290523292074,"(0.2, 1.0]",near_gyrB (Rv0005),-0.0024520243983120055,0.8962596441429205,-0.2522363665050351
28,-7.58765695668838,True,-7.612021730898895,250,0.0,const,gyrB (Rv0005),-7.563292182477865,0.0005066668065592181,-17.47437397125334
29,-0.23160399031050885,True,-0.26770000000629274,250,2.86953733724303e-36,"(0.01, 0.05]",gyrB (Rv0005),-0.19550798061472496,0.7932601998393282,-0.5333839896851019
30,-0.18258966751846736,True,-0.23025378407184338,250,5.997034941286425e-14,"(0.05, 0.2]",gyrB (Rv0005),-0.13492555096509135,0.8331099376782963,-0.4205040042950303
31,-0.12428944555456628,True,-0.1656183412744897,250,3.763873298458759e-09,"(0.2, 1.0]",gyrB (Rv0005),-0.08296054983464286,0.8831241875154641,-0.28623859311216615
32,-7.911994091858833,True,-8.146254574330747,250,0.0,const,near_gyrA (Rv0006),-7.6777336093869195,0.00036632336933769313,-18.221322393550892
33,-0.3462454828011959,True,-0.7070788138918929,250,0.06000918261553123,"(0.01, 0.05]",near_gyrA (Rv0006),0.014587848289501049,0.7073388262755315,-0.7974033468911541
34,-0.011961893119130575,True,-0.4502231465312988,250,0.9573373435727317,"(0.05, 0.2]",near_gyrA (Rv0006),0.4262993602930376,0.9881093659103986,-0.027548239853357713
35,-0.10582616122626903,True,-0.5078027212531111,250,0.6058621243062565,"(0.2, 1.0]",near_gyrA (Rv0006),0.296150398800573,0.8995810165448667,-0.2437176493040976
36,-7.631592544672012,True,-7.6546749136606165,250,0.0,const,gyrA (Rv0006),-7.608510175683407,0.0004848880372674112,-17.57555763037964
37,-0.2064882797406392,True,-0.24044539849982816,250,9.507940195659594e-33,"(0.01, 0.05]",gyrA (Rv0006),-0.17253116098145027,0.8134357950795844,-0.4755425082426921
38,-0.15042770237228048,True,-0.19482369939963848,250,3.116066765339148e-11,"(0.05, 0.2]",gyrA (Rv0006),-0.10603170534492248,0.8603399282948399,-0.34643499856336196
39,-0.08598560775932201,True,-0.12460532581746818,250,1.2782291894712357e-05,"(0.2, 1.0]",gyrA (Rv0006),-0.04736588970117585,0.9176074375522055,-0.1980248546697186
40,-7.619981889160533,True,-7.747027484382429,250,0.0,const,near_Rv0007,-7.492936293938636,0.0004905507153177557,-17.54881829073671
41,-0.08411461049029088,True,-0.2653398242460013,250,0.36297774550620987,"(0.01, 0.05]",near_Rv0007,0.09711060326541952,0.9193258856664684,-0.1937159479591399
42,-0.1423589162590817,True,-0.3848943962225103,250,0.24996976916819336,"(0.05, 0.2]",near_Rv0007,0.10017656370434694,0.8673099089874184,-0.32785258414466517
43,-0.043151458352875594,True,-0.2533428679577234,250,0.6874096909334633,"(0.2, 1.0]",near_Rv0007,0.16703995125197227,0.9577663173722034,-0.09937780858667249
44,-7.492295556076767,True,-7.532170451906317,250,0.0,const,Rv0007,-7.452420660247218,0.0005573620350173981,-17.254756665644795
45,-0.13061189292184996,True,-0.18808722463652586,250,8.428866304625801e-06,"(0.01, 0.05]",Rv0007,-0.07313656120717407,0.8775582948932981,-0.30079918939902045
46,-0.023670227443281476,True,-0.09680546851309588,250,0.5258573114699958,"(0.05, 0.2]",Rv0007,0.04946501362653292,0.9766077150838456,-0.05451253380187724
47,-0.011349691932667494,True,-0.07589764373283424,250,0.7303745667894429,"(0.2, 1.0]",Rv0007,0.05319825986749925,0.9887144728412557,-0.026138340520933237
48,-7.630751480901103,True,-7.771468694159141,250,0.0,const,near_ileT (Rvnt01),-7.490034267643065,0.00048529603057864955,-17.57362066051524
49,-0.17711345253056415,True,-0.3820678337534487,250,0.09031789590342992,"(0.01, 0.05]",near_ileT (Rvnt01),0.02784092869232041,0.8376847416779118,-0.4078922811778892
50,-0.1583982308086966,True,-0.4288699088509845,250,0.2510397860593402,"(0.05, 0.2]",near_ileT (Rvnt01),0.11207344723359133,0.8535098203753859,-0.36479112555242826
51,-0.13151546844470408,True,-0.36824635291173513,250,0.2762178808612339,"(0.2, 1.0]",near_ileT (Rvnt01),0.10521541602232701,0.8767657128309557,-0.3028801238281535
52,-7.60028636070126,True,-7.732427105512921,250,0.0,const,ileT (Rvnt01),-7.468145615889599,0.000500308144334348,-17.503459488695
53,-0.13436922168908466,True,-0.3239206089569606,250,0.164717343007467,"(0.01, 0.05]",ileT (Rvnt01),0.055182165578791326,0.874267206589183,-0.30945231754996194
54,-0.11157285809426068,True,-0.3587855548446969,250,0.3763845588435756,"(0.05, 0.2]",ileT (Rvnt01),0.1356398386561755,0.8944262228392151,-0.25695229219108234
55,-0.03874551640319618,True,-0.25352163138029987,250,0.7236561847715278,"(0.2, 1.0]",ileT (Rvnt01),0.17603059857390752,0.961995490071103,-0.08923092427656079
56,-7.5186457705098775,True,-7.604513351692319,250,0.0,const,near_alaT (Rvnt02),-7.432778189327436,0.0005428672350969375,-17.31544120948425
57,-0.21607625756935833,True,-0.3419860786511302,250,0.00076951979986945,"(0.01, 0.05]",near_alaT (Rvnt02),-0.09016643648758649,0.8056738608005158,-0.49762362118223225
58,-0.015700578373477027,True,-0.16860355387555367,250,0.840498779249824,"(0.05, 0.2]",near_alaT (Rvnt02),0.13720239712859963,0.9844220331777012,-0.03615843199411759
59,-0.15425670120266477,True,-0.29949009022268613,250,0.0373665876540109,"(0.2, 1.0]",near_alaT (Rvnt02),-0.009023312182643406,0.8570519864954237,-0.35525318286973695
60,-7.548214673917772,True,-7.665136322721636,250,0.0,const,alaT (Rvnt02),-7.431293025113908,0.000527050244206199,-17.383538394032627
61,-0.17808726644970377,True,-0.3490350269349518,250,0.04116934779731459,"(0.01, 0.05]",alaT (Rvnt02),-0.0071395059644557,0.8368693896816106,-0.41013497463366777
62,0.018453128582603378,True,-0.19285275997574022,250,0.8640966505882852,"(0.05, 0.2]",alaT (Rvnt02),0.22975901714094696,1.0186244396793518,0.04249755512573558
63,-0.17796776300996042,True,-0.3779228423047126,250,0.08108172651905769,"(0.2, 1.0]",alaT (Rvnt02),0.021987316284791752,0.8369694044282275,-0.4098597582119388
64,-7.61408935125728,True,-7.6554090145014,250,0.0,const,near_Rv0008c,-7.57276968801316,0.000493449837205433,-17.535247775945514
